YearID,League Name,LeagueAbbrev,Bbref Lg ID,Level Name,Level,levelbelow,num_divisions_subleague_1,name_sl1,Southern,Northern,name_div_3_sl1,name_div_4_sl1,num_divisions_subleague_2,name_sl2,name_div_1_sl2,name_div_2_sl2,name_div_3_sl2,name_div_4_sl2,GamesScheduled,SeasonFormat,PlayoffFormat,DHused,ActivePlayerLimit,UniqueID,Season Length,Have Schedule,Done Schedule,NegroLeague,ReserveRosterLimit
1990,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,62,,,1,,,180,,,0,
1991,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,36,,,1,,,180,,,0,
1992,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,36,,,1,,,180,,,0,
1993,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
1994,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
1995,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
1996,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,76,,,1,,,180,,,0,
1997,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
1998,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
1999,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
2000,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
2001,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
2002,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,60,,,1,,,180,,,0,
2003,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,66,,,1,,,180,,,0,
2004,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,72,,,1,,,180,,,0,
2005,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,76,,,1,,,180,,,0,
2006,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,78,,,1,,,180,,,0,
2007,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,90,,,1,,,180,,,0,
2008,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,90,,,1,,,180,,,0,
2009,2-Gun League,2-Gun,,2-Gun,2-Gun,5,,2-gun,,,,,,,,,,,90,,,1,,,180,,,0,
2010,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,102,,,1,,,180,,,0,
2011,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,102,,,1,,,180,,,0,
2012,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,100,,,1,,,180,,,0,
2013,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,100,,,1,,,180,,,0,
2014,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,93,,,1,,,180,,,0,
2015,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,102,,,1,,,180,,,0,
2016,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,96,,,1,,,180,,,0,
2017,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,95,,,1,,,180,,,0,
2018,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,96,,,1,,,180,,,0,
2019,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,99,,,1,,,180,,,0,
2020,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,89,,,1,,,180,,,0,
2021,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,92,,,1,,,180,,,0,
2022,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,108,,,1,,,180,,,0,
2023,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,105,,,1,,,180,,,0,
2024,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,103,,,1,,,180,,,0,
2025,Korean Futures League,KFL,,Fufures,KFL,5,,KFL,,,,,,,,,,,103,,,1,,,180,,,0,
